period_date,ticker
2022-12-31,AMOC
2022-12-31,CIEB
2022-12-31,EKHO
2022-12-31,SWDY
2022-12-31,HELI
2022-12-31,ABUK
2022-12-31,ESRS
2022-12-31,FWRY
2022-12-31,ISPH
2022-12-31,MFPC
2022-12-31,ORWE
2022-12-31,EFIH
2022-12-31,EKHOA
2022-12-31,JUFO
2022-12-31,ORAS
2022-12-31,CLHO
2022-12-31,EFID
2022-12-31,MASR
2022-12-31,BTFH
2022-12-31,CIRA
2022-12-31,CCAP
2022-12-31,RMDA
2022-12-31,ALCN
2022-12-31,HDBK
2022-12-31,QNBE
2023-01-01,COMI
2023-01-01,EAST
2023-01-01,HRHO
2023-01-01,PHDC
2023-01-01,SKPC
2023-01-01,TMGH
2023-01-01,ETEL
2023-01-01,AMOC
2023-01-01,CIEB
2023-01-01,EKHO
2023-01-01,SWDY
2023-01-01,HELI
2023-01-01,ABUK
2023-01-01,ESRS
2023-01-01,FWRY
2023-01-01,ISPH
2023-01-01,MFPC
2023-01-01,ORWE
2023-01-01,EFIH
2023-01-01,EKHOA
2023-01-01,JUFO
2023-01-01,ORAS
2023-01-01,CLHO
2023-01-01,EFID
2023-01-01,MASR
2023-01-01,ADIB
2023-01-01,CIRA
2023-01-01,GBCO
2023-01-01,RMDA
2023-01-01,CCAP
2023-01-01,TALM
2023-12-31,COMI
2023-12-31,EAST
2023-12-31,HRHO
2023-12-31,PHDC
2023-12-31,SKPC
2023-12-31,TMGH
2023-12-31,ETEL
2023-12-31,AMOC
2023-12-31,CIEB
2023-12-31,EKHO
2023-12-31,SWDY
2023-12-31,HELI
2023-12-31,ABUK
2023-12-31,ESRS
2023-12-31,FWRY
2023-12-31,MFPC
2023-12-31,ORWE
2023-12-31,EFIH
2023-12-31,EKHOA
2023-12-31,JUFO
2023-12-31,ORAS
2023-12-31,ORHD
2023-12-31,EFID
2023-12-31,MASR
2023-12-31,ADIB
2023-12-31,BTFH
2023-12-31,CIRA
2023-12-31,GBCO
2023-12-31,ALCN
2023-12-31,CCAP
2023-12-31,BINV
2024-01-01,COMI
2024-01-01,EAST
2024-01-01,HRHO
2024-01-01,PHDC
2024-01-01,SKPC
2024-01-01,TMGH
2024-01-01,ETEL
2024-01-01,AMOC
2024-01-01,EKHO
2024-01-01,SWDY
2024-01-01,HELI
2024-01-01,ABUK
2024-01-01,ESRS
2024-01-01,FWRY
2024-01-01,ISPH
2024-01-01,MFPC
2024-01-01,ORWE
2024-01-01,EFIH
2024-01-01,EKHOA
2024-01-01,JUFO
2024-01-01,ORAS
2024-01-01,ORHD
2024-01-01,EFID
2024-01-01,ADIB
2024-01-01,BTFH
2024-01-01,GBCO
2024-01-01,ALCN
2024-01-01,MASR
2024-01-01,CCAP
2024-01-01,PHAR
2024-01-01,FAIT
2024-01-01,SUGR
2024-12-31,COMI
2024-12-31,EAST
2024-12-31,HRHO
2024-12-31,PHDC
2024-12-31,SKPC
2024-12-31,TMGH
2024-12-31,ETEL
2024-12-31,AMOC
2024-12-31,CIEB
2024-12-31,EKHO
2024-12-31,SWDY
2024-12-31,HELI
2024-12-31,ABUK
2024-12-31,ESRS
2024-12-31,FWRY
2024-12-31,MFPC
2024-12-31,ORWE
2024-12-31,EFIH
2024-12-31,EKHOA
2024-12-31,JUFO
2024-12-31,ORAS
2024-12-31,CLHO
2024-12-31,EFID
2024-12-31,ADIB
2024-12-31,BTFH
2024-12-31,EMFD
2024-12-31,GBCO
2024-12-31,ALCN
2024-12-31,MASR
2024-12-31,BINV
2024-12-31,FAIT
2024-12-31,FAITA
2025-01-01,COMI
2025-01-01,EAST
2025-01-01,HRHO
2025-01-01,PHDC
2025-01-01,SKPC
2025-01-01,TMGH
2025-01-01,ETEL
2025-01-01,AMOC
2025-01-01,CIEB
2025-01-01,EKHO
2025-01-01,ABUK
2025-01-01,FWRY
2025-01-01,ISPH
2025-01-01,MFPC
2025-01-01,ORWE
2025-01-01,EFIH
2025-01-01,EKHOA
2025-01-01,JUFO
2025-01-01,ORAS
2025-01-01,ORHD
2025-01-01,EFID
2025-01-01,ADIB
2025-01-01,BTFH
2025-01-01,EMFD
2025-01-01,GBCO
2025-01-01,RMDA
2025-01-01,ALCN
2025-01-01,MASR
2025-01-01,CCAP
2025-01-01,EGAL
2025-01-01,PHAR
2025-12-31,COMI
2025-12-31,EAST
2025-12-31,HRHO
2025-12-31,PHDC
2025-12-31,SKPC
2025-12-31,TMGH
2025-12-31,ETEL
2025-12-31,AMOC
2025-12-31,CIEB
2025-12-31,SWDY
2025-12-31,HELI
2025-12-31,ABUK
2025-12-31,FWRY
2025-12-31,ISPH
2025-12-31,MFPC
2025-12-31,EFIH
2025-12-31,EKHOA
2025-12-31,JUFO
2025-12-31,ORAS
2025-12-31,ORHD
2025-12-31,ADIB
2025-12-31,BTFH
2025-12-31,EMFD
2025-12-31,GBCO
2025-12-31,RMDA
2025-12-31,MASR
2025-12-31,CCAP
2025-12-31,MTIE
2025-12-31,HDBK
2025-12-31,EGAL
2025-12-31,RAYA
2025-12-31,ARCC
2025-12-31,MCQE
2025-12-31,VLMRA
2025-12-31,VLMR
