period_start,ticker,risk_profile,actual_sharpe,actual_fwd_vol,classification_correct,split
2022-07-01,VLMRA,,4.34340855343675,0.45232725143432617,,train
2023-01-01,ABUK,conservative,2.505255688257724,0.4194530248641968,1.0,train
2023-01-01,ADIB,balanced,3.834454722208677,0.6280028223991394,0.0,train
2023-01-01,ALCN,,-0.7303581731804384,0.7500419616699219,,train
2023-01-01,AMOC,balanced,4.267632229713101,0.4963023066520691,1.0,train
2023-01-01,ARCC,,-1.1065915637305817,0.6652923226356506,,train
2023-01-01,ASPI,,-0.8060319341348371,0.3090992867946625,,train
2023-01-01,BINV,,5.863789997098457,0.44947803020477295,,train
2023-01-01,BTFH,,-1.4823631369982915,0.4643671214580536,,train
2023-01-01,CCAP,aggressive,0.22534526042732608,0.5095887780189514,1.0,train
2023-01-01,CICH,,-1.6242825266523255,0.4979532063007355,,train
2023-01-01,CIEB,aggressive,2.619954684552793,0.617015540599823,1.0,train
2023-01-01,CIRA,conservative,4.696856662805936,0.26308587193489075,1.0,train
2023-01-01,CLHO,conservative,1.04658705897471,0.4852873682975769,0.0,train
2023-01-01,COMI,conservative,4.234785419230944,0.5350247621536255,0.0,train
2023-01-01,DSCW,,-0.41596561437155366,0.5381228923797607,,train
2023-01-01,EAST,balanced,4.34616300244207,0.6334226131439209,0.0,train
2023-01-01,EFID,conservative,3.3322242518665455,0.3609224855899811,1.0,train
2023-01-01,EFIH,balanced,-2.02296681505692,0.4909479022026062,1.0,train
2023-01-01,EGAL,,3.515338805858829,0.489766925573349,,train
2023-01-01,EGCH,,3.9818651597400643,0.4674755930900574,,train
2023-01-01,EGTS,,0.6295383546177439,0.451012521982193,,train
2023-01-01,EMFD,,4.457752250499815e-15,0.4529677629470825,,train
2023-01-01,ETEL,balanced,0.9727456516824571,0.6695713996887207,0.0,train
2023-01-01,EXPA,,2.69341522272362,0.3997833728790283,,train
2023-01-01,FAIT,,2.6376594098406243,0.27350154519081116,,train
2023-01-01,FAITA,,6.0046306204743205,0.11609550565481186,,train
2023-01-01,FWRY,aggressive,4.446696850024448,0.5099841356277466,1.0,train
2023-01-01,GBCO,aggressive,-2.403781061465344,0.44793814420700073,0.0,train
2023-01-01,GDWA,,-0.14598287457055792,0.7140233516693115,,train
2023-01-01,HDBK,,4.252002492966735,0.5103946328163147,,train
2023-01-01,HELI,aggressive,3.9040158041157307,0.670404314994812,1.0,train
2023-01-01,HRHO,balanced,0.8747313535026982,0.4824591875076294,1.0,train
2023-01-01,IRON,,-1.6303824832679614e-15,0.2553595006465912,,train
2023-01-01,ISPH,balanced,-6.180999893532803,0.3636966943740845,0.0,train
2023-01-01,JUFO,balanced,0.7869954224798461,0.6554314494132996,0.0,train
2023-01-01,MASR,aggressive,2.1132185300790782,0.48535478115081787,0.0,train
2023-01-01,MCQE,,-1.5336903417883097,0.4300728738307953,,train
2023-01-01,MFPC,conservative,1.972620301567143,0.35714972019195557,1.0,train
2023-01-01,MTIE,,-0.4737581803886503,0.4897347092628479,,train
2023-01-01,OCDI,,0.7528481844905468,0.5080325603485107,,train
2023-01-01,OFH,,-3.721696835958887,0.34819161891937256,,train
2023-01-01,OIH,,-4.102121840027114,0.2671343982219696,,train
2023-01-01,ORAS,conservative,1.4276098667138444,0.4119907319545746,1.0,train
2023-01-01,ORHD,,2.1479189744074954,0.9111527800559998,,train
2023-01-01,ORWE,aggressive,3.092989898553216,0.45696768164634705,0.0,train
2023-01-01,PHAR,,2.02830525277661,0.30937710404396057,,train
2023-01-01,PHDC,aggressive,1.6509658799549376,0.570368766784668,1.0,train
2023-01-01,PRDC,,-2.322660136357312,0.37762847542762756,,train
2023-01-01,QNBE,,3.4843105253279685,0.39771974086761475,,train
2023-01-01,RAYA,,-4.67481822662082,0.5586652755737305,,train
2023-01-01,RMDA,conservative,-4.452868215086493,0.2586783170700073,1.0,train
2023-01-01,SKPC,aggressive,3.4898021948658013,0.49922144412994385,0.0,train
2023-01-01,SPMD,,-1.6786882794737792,0.42310798168182373,,train
2023-01-01,SUGR,,2.6598678372417615,0.4544956088066101,,train
2023-01-01,SWDY,aggressive,1.7175348716598111,0.4800873100757599,0.0,train
2023-01-01,TALM,balanced,1.2356538137651303,0.496918648481369,1.0,train
2023-01-01,TMGH,conservative,-1.0465990269073335,0.3851439952850342,1.0,train
2023-01-01,VLMR,,0.5466117793965539,0.19672147929668427,,train
2023-01-01,VLMRA,,3.519992951760867,0.37644559144973755,,train
2023-07-01,ABUK,balanced,2.6098988588363814,0.24027615785598755,0.0,train
2023-07-01,ADIB,aggressive,0.8092351493053265,0.32176104187965393,0.0,train
2023-07-01,ALCN,,2.8577274008088396,0.36966443061828613,,train
2023-07-01,AMOC,aggressive,-0.1293469034922641,0.4581429958343506,1.0,train
2023-07-01,ARCC,,-7.505622348728242,0.31041690707206726,,train
2023-07-01,ASPI,,-3.137416060976637,0.3933054804801941,,train
2023-07-01,BINV,,-2.973402058032295,0.5270665287971497,,train
2023-07-01,BTFH,,-1.3474310467608261,1.4896750450134277,,train
2023-07-01,CCAP,aggressive,-4.050558588281736,0.7227970361709595,1.0,train
2023-07-01,CICH,,0.19521577487333341,0.609226405620575,,train
2023-07-01,CIEB,balanced,-1.1425101439014527,0.3434184491634369,0.0,train
2023-07-01,CIRA,conservative,-1.6831588665509747,0.20162640511989594,1.0,train
2023-07-01,CLHO,conservative,-4.236549661442099,0.2794864773750305,0.0,train
2023-07-01,COMI,conservative,-0.13541687867833713,0.17392246425151825,1.0,train
2023-07-01,DSCW,,-0.7822525622948647,0.26835042238235474,,train
2023-07-01,EAST,aggressive,-4.568137575850265,0.4838673770427704,1.0,train
2023-07-01,EFID,conservative,4.257285045013541,0.15448801219463348,1.0,train
2023-07-01,EFIH,conservative,1.4395190665801008,0.20274128019809723,1.0,train
2023-07-01,EGAL,,0.7047792401175305,0.42072272300720215,,train
2023-07-01,EGCH,,-2.9908640296083795,0.3576001226902008,,train
2023-07-01,EGTS,,4.842662827915117,0.3283049464225769,,train
2023-07-01,EMFD,,-1.3797807696704447,0.17871245741844177,,train
2023-07-01,ETEL,conservative,0.050998555662311894,0.2726109027862549,1.0,train
2023-07-01,EXPA,,-4.198129253041213,0.3026041090488434,,train
2023-07-01,FAIT,,-2.5190209117697284,0.1253208965063095,,train
2023-07-01,FAITA,,-1.809989258303671,0.11922167241573334,,train
2023-07-01,FWRY,balanced,-1.3312378349774157,0.29343459010124207,1.0,train
2023-07-01,GBCO,aggressive,-0.5040316031302159,0.4076182544231415,1.0,train
2023-07-01,GDWA,,5.5488033213093235,0.5854447484016418,,train
2023-07-01,HDBK,,-1.9767314291222275,0.18930023908615112,,train
2023-07-01,HELI,aggressive,-1.0708650149970724,0.561917245388031,1.0,train
2023-07-01,HRHO,conservative,1.986900223482699,0.3358347415924072,0.0,train
2023-07-01,IRON,,0.6762840527138603,0.29329630732536316,,train
2023-07-01,ISPH,aggressive,-3.7056224190999614,0.6484474539756775,1.0,train
2023-07-01,JUFO,balanced,5.738203637708269,0.2649475634098053,0.0,train
2023-07-01,MASR,balanced,-3.223149157190547,0.2910969853401184,1.0,train
2023-07-01,MCQE,,-2.7187792077696837,0.25935035943984985,,train
2023-07-01,MFPC,aggressive,-0.324410868821819,0.9934524893760681,1.0,train
2023-07-01,MTIE,,-1.0758243901257316,0.5637407302856445,,train
2023-07-01,OCDI,,-2.2244833986532777,0.44049587845802307,,train
2023-07-01,OFH,,1.7891779411313713,0.5707023739814758,,train
2023-07-01,OIH,,0.13023372692498578,0.37229153513908386,,train
2023-07-01,ORAS,conservative,-1.469482039322809,0.3354332149028778,0.0,train
2023-07-01,ORHD,,-0.9997808359728574,0.4271049499511719,,train
2023-07-01,ORWE,balanced,0.16086406700784156,0.2507469356060028,0.0,train
2023-07-01,PHAR,,-1.646315599800293,0.34551507234573364,,train
2023-07-01,PHDC,balanced,-3.7941970214841816,0.24818409979343414,0.0,train
2023-07-01,PRDC,,-0.18908021210787815,0.3058566451072693,,train
2023-07-01,QNBE,,1.119697136056808,0.39357608556747437,,train
2023-07-01,RAYA,,-2.0605701217752785,0.43729907274246216,,train
2023-07-01,RMDA,conservative,-4.280919158368063,0.2979584336280823,0.0,train
2023-07-01,SKPC,aggressive,0.9222924889950239,0.404462069272995,1.0,train
2023-07-01,SPMD,,-4.599446964451605,0.5413243174552917,,train
2023-07-01,SUGR,,-0.0498064010162489,0.5243241786956787,,train
2023-07-01,SWDY,aggressive,-3.121545661649691,0.3764117658138275,1.0,train
2023-07-01,TALM,balanced,-1.4355300380072482,0.28487858176231384,1.0,train
2023-07-01,TMGH,balanced,0.7401564809767252,0.33870717883110046,1.0,train
2023-07-01,VLMR,,-6.369290311223,0.0871163085103035,,train
2023-07-01,VLMRA,,0.4765672673109737,0.44990700483322144,,train
2024-01-01,ABUK,aggressive,3.62575985320585,0.542113721370697,0.0,test
2024-01-01,ADIB,balanced,3.279942455790518,0.575328528881073,1.0,test
2024-01-01,ALCN,aggressive,3.3064669739716823,0.8603181838989258,1.0,test
2024-01-01,AMOC,balanced,0.30079799390616835,0.5624608397483826,1.0,test
2024-01-01,ARCC,,-0.02275017289865507,0.5277324318885803,,test
2024-01-01,ASPI,,1.8459654028283912,0.5753269195556641,,test
2024-01-01,BINV,,4.849534158149978,0.8271788358688354,,test
2024-01-01,BTFH,balanced,0.44575236944845026,0.6372079253196716,0.0,test
2024-01-01,CCAP,aggressive,0.43165855220661564,0.508236289024353,0.0,test
2024-01-01,CICH,,-0.8588871809544445,0.6039731502532959,,test
2024-01-01,CIEB,,1.9507537931398444,0.7369530200958252,,test
2024-01-01,CIRA,,2.82059809781215,0.23632973432540894,,test
2024-01-01,CLHO,,1.592595993334291,0.4191429018974304,,test
2024-01-01,COMI,conservative,4.404457711001767,0.4277425706386566,0.0,test
2024-01-01,DSCW,,6.77172648161085,0.8840322494506836,,test
2024-01-01,EAST,balanced,2.181581270420661,0.7417607307434082,0.0,test
2024-01-01,EFID,conservative,-0.27382250348232523,0.253726065158844,1.0,test
2024-01-01,EFIH,balanced,0.8036930031149454,0.23700617253780365,0.0,test
2024-01-01,EGAL,,5.645928829990358,1.2079720497131348,,test
2024-01-01,EGCH,,0.7564968040030561,0.8545652627944946,,test
2024-01-01,EGTS,,-1.4056613497064123,0.3757680356502533,,test
2024-01-01,EMFD,,2.044877886402892,0.5249762535095215,,test
