mean_reward,total_reward,loss,actor_loss,value_loss
0.6016235010532708,37.90228056635606,-0.2600598279386759,-0.12966422522440552,0.017165003111585975
0.605827294225598,38.167119536212674,-0.2676402375102043,-0.12306423131376505,0.01493966612033546
0.6028248914950424,37.97796816418767,-0.2836427383124828,-0.1266662809997797,0.014984781993553043
0.6063609471869117,38.200739672775434,-0.2958631135523319,-0.126767069241032,0.012598516885191202
0.605257821025703,38.13124272461929,-0.31174746006727216,-0.12693081479519605,0.011059369938448072
0.5939069050328027,37.41613501706657,-0.3155192330479622,-0.11712565533816814,0.013798927748575806
0.5892007988663568,37.11965032858048,-0.33607971742749215,-0.13050313340499997,0.017704275576397775
0.6055079811934091,38.14700281518477,-0.34543530121445654,-0.12331970683299005,0.014539637649431825
0.5923648963762066,37.31898847170102,-0.3605476088821888,-0.12505666129291057,0.014648243598639966
0.5826644175697017,36.707858306891204,-0.379335381090641,-0.13179965494200588,0.01503371326252818
0.597309394621905,37.63049186118002,-0.38868443518877027,-0.12251358004286886,0.015446559037081897
0.5873904516827633,37.005598456014084,-0.4047301210463047,-0.12210345813073217,0.015110001247376204
0.5884614953468118,37.07307420684914,-0.4169840686023235,-0.12111929850652814,0.01583862998522818
0.5979484529404188,37.67075253524638,-0.45199005901813505,-0.1305755199166015,0.013223739853128792
0.5821986102370017,36.67851244493111,-0.4544022768735886,-0.11977118337526918,0.017776725860312582
0.5718876508165065,36.02892200143991,-0.4846721313893795,-0.12959666028618813,0.01347496104426682
0.5694185880934687,35.873371049888526,-0.4994262933731079,-0.1251225259155035,0.013297078339383006
0.5672446927057289,35.73641564046092,-0.5199403919279575,-0.1286521707312204,0.016852407809346916
0.5616727493074261,35.38538320636784,-0.544229981303215,-0.13048158111050726,0.01630578492768109
0.5665463146158961,35.69241782080145,-0.5508655801415443,-0.116145311598666,0.01629243209026754
0.5643265731504238,35.5525741084767,-0.5798813819885253,-0.13011752692982553,0.014304594555869698
0.5665311058405648,35.69145966795558,-0.5935650438070297,-0.12046083435416222,0.013392929686233401
0.5625705040099028,35.441941752623876,-0.6102201417088509,-0.12091752192936837,0.014371859095990657
0.5621872575233865,35.41779722397335,-0.6276415094733239,-0.12415405339561403,0.014720529271289706
0.5570981431525018,35.097183018607616,-0.6615234076976776,-0.13494295813143253,0.014868444018065929
0.5577502096920003,35.138263210596016,-0.6769954472780227,-0.1232364803669043,0.014275821112096309
0.5478394920729327,34.51388800059476,-0.6942096650600433,-0.11869307374581695,0.01764581920579076
0.5517733472079375,34.761720874100064,-0.7220770388841629,-0.12047083461657167,0.01671365024521947
0.5471940908897444,34.47322772605389,-0.7427840143442154,-0.11763637885451317,0.01491021909750998
0.5517018357405103,34.75721565165215,-0.7542289197444916,-0.10849927100352943,0.01786374761722982
0.5390391572972149,33.95946690972453,-0.7859612494707108,-0.12126363515853882,0.01945763351395726
