,ABUK,ADIB,ALCN,AMOC,ARCC,ASPI,BINV,BTFH,CCAP,CICH,CIEB,CIRA,CLHO,COMI,DSCW,EAST,EFID,EFIH,EGAL,EGCH,EGTS,EMFD,ETEL,EXPA,FAIT,FAITA,FWRY,GBCO,GDWA,HDBK,HELI,HRHO,IRON,ISPH,JUFO,MASR,MCQE,MFPC,MTIE,OCDI,OFH,OIH,ORAS,ORHD,ORWE,PHAR,PHDC,PRDC,QNBE,RAYA,RMDA,SKPC,SPMD,SUGR,SWDY,TALM,TMGH,VLMR,VLMRA
2021-04-14,0.17092079,0.2110263,0.4018232,0.40840638,0.5142781,0.33545485,0.41859862,0.49714515,0.3530544,0.26743075,0.21383682,0.33437556,0.21814893,0.25285012,0.57691145,0.20680746,0.41763076,,0.52852714,0.3712689,0.37020877,0.20033528,0.33407614,0.29280913,,0.2644416,0.3864085,0.48416784,,0.15775208,0.26518077,0.17539561,0.42779452,0.2935718,0.3038093,0.49138394,0.40261436,0.31151643,0.48904946,0.2999261,,0.22545472,0.10797537,0.33335337,0.70973945,0.24724652,0.24834278,,0.11436477,0.60199106,0.3460478,0.34125972,0.58866745,0.35803017,0.45570186,,0.24758439,0.27330688,
2021-05-23,0.16742112,0.40121675,0.14005679,0.33412024,0.6322433,0.50801194,0.52559805,1.281344,0.34960994,0.6298964,0.09657851,0.28787804,0.34773242,0.22808455,0.43314525,0.20775619,0.3056586,,0.37561885,0.45266953,0.5177554,0.21286528,0.41665596,0.27371842,,0.28408012,0.29798654,0.2133262,,0.19603708,0.2146912,0.18748306,1.2913427,0.39865822,0.6150219,0.220416,0.3619315,0.35654023,0.36177495,0.27606177,,0.23735203,0.10511389,0.21004984,0.30681604,0.14380248,0.24727622,,0.11515159,0.5773232,0.38729724,0.40948656,0.5111991,0.37198618,0.3642219,,0.30836517,0.20385689,
2021-06-21,0.27946666,0.18786824,0.40723044,0.40304992,0.48650888,0.29877958,0.34462652,0.45726997,0.2906618,0.2143969,0.2519798,0.30609158,0.2922598,0.20501736,0.27993944,0.2203635,0.19668463,,0.54863024,0.3776894,0.72937196,0.25816515,0.22418381,0.26894802,,0.11175143,0.40132034,0.3630924,,0.49914736,0.28747165,0.23815495,0.43047854,0.2428807,0.2188904,0.24791655,0.7573066,0.21215013,0.26463652,0.14645922,,0.31696108,0.19231154,0.22633791,0.41089302,0.19210209,0.32874322,,0.122787885,0.38345107,0.26858956,0.3642757,0.48414737,0.46935913,0.31257373,,0.42734477,0.13083272,
2021-07-27,0.16487655,0.6249897,0.44452757,0.40952548,0.5290558,0.39582887,0.4288709,0.51395905,0.23467371,0.40661493,0.14384271,0.2510979,0.24903758,0.21253614,0.35543993,0.15744331,0.16887835,,0.5179402,0.48731896,0.6464462,0.19551747,0.21869291,0.32890198,,0.3214936,0.32366392,0.22877891,,0.34394142,0.26233786,0.1430823,0.32825652,0.30237314,0.23926722,0.17463058,0.67929995,0.14525516,0.314233,0.20690598,,0.41024882,0.25746152,0.4078087,0.13717313,0.27327108,0.20664479,,0.16085993,0.26205254,0.30952135,0.34740904,0.36684185,0.7799631,0.13911042,,0.18169555,0.23306413,
2021-08-26,0.18547672,0.8394802,0.41561157,0.46407405,0.57495356,0.5930826,0.28898138,0.4175065,0.27416095,0.7883235,0.17846186,0.1544952,0.44539043,0.13044016,0.31622484,0.29349178,0.11859104,,0.7596908,0.38741612,0.7068225,0.4042992,0.21366736,0.31916988,,0.2333675,0.45988774,0.3408399,,0.33809996,0.47699508,0.29622808,0.3948086,0.27794993,0.3109481,0.4036151,0.7073362,0.40762332,0.4150654,0.3021214,,0.6044247,0.33116892,0.33683935,0.2507129,0.3154626,0.3513513,,0.10319425,0.5679988,0.24565436,0.3581057,0.7973048,0.86588734,0.31861067,,0.3179886,0.16804044,
2021-09-26,0.43548626,0.5180469,0.26653996,0.43460214,0.58348393,15.039614,0.4278136,0.35268548,0.29487595,0.37668547,0.24400695,0.33858395,0.34254146,0.2101745,0.37095916,0.2887075,0.13235435,,0.5874974,0.38321248,0.36859205,0.1733664,0.23602495,0.26687983,,0.09481989,0.5664977,0.36948577,0.44958475,0.20876144,0.25613895,0.18043071,0.5965005,0.30686036,0.22116758,0.483511,0.54618543,0.2909525,0.4593782,0.16146605,,0.49429068,0.21919413,0.47347197,0.15504226,0.14719112,0.2367147,0.60841566,0.07639766,0.5130849,0.21952449,0.30438766,0.38466442,0.5111969,0.29475784,,0.19812872,0.2571055,0.4042892
2021-10-27,0.3450084,0.30860633,0.28677475,0.4441776,0.47190097,0.5323683,0.34670871,0.3938577,0.3666448,0.33750758,0.19935772,0.24466158,0.26772413,0.23030634,0.55291456,0.10522429,0.15103205,0.6170695,0.6292277,0.45115435,0.44663897,0.38492,0.22973159,0.20516011,,0.078354985,0.38840148,0.46190062,0.40364337,0.17003961,0.39626023,0.29261154,0.45184848,0.35414064,0.32891712,0.5874903,0.42457095,0.2902943,0.19928049,0.27318984,,0.57047206,0.15256079,0.33105338,0.16802692,0.24413979,0.31339458,0.66132605,0.1818499,0.5568823,0.57377887,0.39995855,0.37659702,0.51084375,0.21986291,,0.24527515,0.18946955,0.29898256
2021-11-25,0.71913767,0.35946319,0.25896817,0.3674584,0.29644522,0.33411545,0.17163174,0.35646248,0.28444117,0.29425642,0.38347295,0.3378942,0.25408334,0.16253111,0.38503838,0.46740812,0.2554207,0.31379277,0.49232906,0.3052899,0.5586958,0.31234276,0.22084086,0.14500847,,0.14024225,0.53020424,0.48632476,0.18030563,0.42184082,0.87646955,0.24361257,0.3481943,0.2643284,0.16816175,0.4263917,0.36964324,0.27461326,0.35857937,0.7799658,,0.32844946,0.26696864,0.46470848,0.16197808,0.2232576,0.41856867,0.38336024,0.18296875,0.25797984,0.52704376,0.24466988,1.0406585,0.4827616,0.24605297,,0.31165725,0.15360953,0.26510766
2021-12-26,0.2711373,0.21952339,0.19195335,0.3893,0.32604507,0.26863435,0.5084387,0.26285493,0.1983023,0.43130052,0.2615188,0.36507407,0.2050554,0.13101467,0.2549893,0.19231273,0.17098372,0.21495831,0.34204543,0.30062753,0.37211996,0.19967209,0.1883279,0.15274072,,0.12908547,0.27973047,0.31801966,0.2735956,0.19173752,0.33940944,0.18745165,0.0,0.16703309,0.2864798,0.296526,0.41162854,0.272398,0.566559,0.18791649,,0.20362517,0.24577028,0.25554788,0.17534961,0.18524787,0.24694271,0.22518437,0.4293076,0.47462204,0.41824824,0.28174368,0.34777883,0.48174864,0.18251024,,0.19597626,0.20318766,0.32746157
2022-01-25,0.16278042,0.7570742,0.5351232,0.2820522,0.29605922,0.42000872,0.40643555,0.385833,0.55307907,0.37693152,0.4097981,0.32981092,0.2628594,0.18064037,0.35792303,0.14182955,0.21119253,0.29124954,0.56804776,0.2762549,0.49300778,0.36308712,0.20155872,0.14908387,0.1432982,0.08932771,0.43937302,0.48114067,0.23369783,0.3152494,0.38234767,0.33938187,0.0,0.3398455,0.20868665,0.45882767,0.4275382,0.14691114,0.4530299,0.29700992,0.13698536,0.40599132,0.14361449,0.36758003,0.22210683,0.12706009,0.35487378,0.36448434,0.35147554,0.35212204,0.39632082,0.26787406,0.36677513,0.40698478,0.28316402,0.36540237,0.4133305,0.12009683,0.2318224
