semiannual_start,ticker,rl_risk_score,risk_profile,split
2020-08-16,QNBE,-1.0498683452606201,conservative,train
2020-08-16,RAYA,1.8177487204472225,balanced,train
2020-08-16,RMDA,0.281027273585399,balanced,train
2020-08-16,SKPC,2.123718718687693,aggressive,train
2020-08-16,SPMD,1.5077850023905437,balanced,train
2020-08-16,SUGR,2.15487277507782,aggressive,train
2020-08-16,SWDY,0.5986200869083405,balanced,train
2020-08-16,TALM,,,train
2020-08-16,TMGH,-0.26149368782838184,balanced,train
2020-08-16,VLMR,-3.240379730860392,conservative,train
2020-08-16,VLMRA,,,train
2021-02-15,ABUK,-1.3951725016037624,balanced,train
2021-02-15,ADIB,-1.8309691449006398,conservative,train
2021-02-15,ALCN,-0.9093920377393564,balanced,train
2021-02-15,AMOC,2.497052550315857,aggressive,train
2021-02-15,ARAB,2.8745013078053794,aggressive,train
2021-02-15,ARCC,2.8243488470713296,aggressive,train
2021-02-15,ASPI,2.0835938254992166,aggressive,train
2021-02-15,BINV,2.2016230821609497,aggressive,train
2021-02-15,BTFH,2.9100417296091714,aggressive,train
2021-02-15,CCAP,-0.14832346886396408,balanced,train
2021-02-15,CICH,0.7915717723468939,balanced,train
2021-02-15,CIEB,-3.106849749883016,conservative,train
2021-02-15,CIRA,-1.9169174234072368,conservative,train
2021-02-15,CLHO,-1.7104814536869526,conservative,train
2021-02-15,COMI,-3.17441463470459,conservative,train
2021-02-15,DSCW,2.9997406800587973,aggressive,train
2021-02-15,EAST,-2.633656660715739,conservative,train
2021-02-15,EFID,-1.9402216672897339,conservative,train
2021-02-15,EFIH,,,train
2021-02-15,EGAL,2.773724675178528,aggressive,train
2021-02-15,EGCH,2.6057633558909097,aggressive,train
2021-02-15,EGTS,1.6050581832726796,balanced,train
2021-02-15,EMFD,-2.3764702479044595,conservative,train
2021-02-15,ETEL,-2.4521403312683105,conservative,train
2021-02-15,EXPA,-1.5418427387873332,balanced,train
2021-02-15,FAIT,-2.9309216340382895,conservative,train
2021-02-15,FAITA,-2.953687230745951,conservative,train
2021-02-15,FWRY,2.130914270877838,aggressive,train
2021-02-15,GBCO,1.7793826063474019,aggressive,train
2021-02-15,GDWA,,,train
2021-02-15,HDBK,-0.9174844274918238,balanced,train
2021-02-15,HELI,0.6414060741662979,balanced,train
2021-02-15,HRHO,-2.8681198358535767,conservative,train
2021-02-15,IRON,2.8742114702860513,aggressive,train
2021-02-15,ISPH,0.021736626823743183,balanced,train
2021-02-15,JUFO,-0.061478043595949806,balanced,train
2021-02-15,MASR,-1.3023892939090729,balanced,train
2021-02-15,MCQE,2.844841718673706,aggressive,train
2021-02-15,MFPC,0.6117666562398275,balanced,train
2021-02-15,MTIE,2.3170140981674194,aggressive,train
2021-02-15,OCDI,-2.0201842387517295,conservative,train
2021-02-15,OFH,2.1076642274856567,aggressive,train
2021-02-15,OIH,2.2808807690938315,aggressive,train
2021-02-15,ORAS,-1.6132907072703044,balanced,train
2021-02-15,ORHD,1.4563812725245953,balanced,train
2021-02-15,ORWE,-1.4547884066899617,balanced,train
2021-02-15,PHAR,-2.640170693397522,conservative,train
2021-02-15,PHDC,-2.5679380098978677,conservative,train
2021-02-15,PRDC,,,train
2021-02-15,QNBE,-1.2181508143742878,balanced,train
2021-02-15,RAYA,2.9336050748825073,aggressive,train
2021-02-15,RMDA,-0.11085747803250949,balanced,train
2021-02-15,SKPC,1.057686095436414,balanced,train
2021-02-15,SPMD,2.999063769976298,aggressive,train
2021-02-15,SUGR,2.724176009496053,aggressive,train
2021-02-15,SWDY,-1.7183704376220703,conservative,train
2021-02-15,TALM,1.4510613530874252,balanced,train
2021-02-15,TMGH,-2.1667516032854715,conservative,train
2021-02-15,VLMR,-3.2475157976150513,conservative,train
2021-02-15,VLMRA,,,train
2021-08-26,ABUK,-1.202628642320633,balanced,train
2021-08-26,ADIB,2.2523691256841025,aggressive,train
2021-08-26,ALCN,0.4242935429016749,balanced,train
2021-08-26,AMOC,1.8065002262592316,aggressive,train
2021-08-26,ARAB,2.4013598362604776,aggressive,train
2021-08-26,ARCC,2.756295641263326,aggressive,train
2021-08-26,ASPI,2.7791152000427246,aggressive,train
2021-08-26,BINV,1.7146525979042053,aggressive,train
2021-08-26,BTFH,2.7096285422643027,aggressive,train
2021-08-26,CCAP,-1.8479443701605003,conservative,train
2021-08-26,CICH,2.229113737742106,aggressive,train
2021-08-26,CIEB,-2.0991149296363196,conservative,train
2021-08-26,CIRA,-1.2320817808310192,balanced,train
2021-08-26,CLHO,-1.9199920097986858,conservative,train
2021-08-26,COMI,-3.1465166012446084,conservative,train
2021-08-26,DSCW,2.7178916136423745,aggressive,train
2021-08-26,EAST,-3.2160005966822305,conservative,train
2021-08-26,EFID,-2.3938156763712564,conservative,train
2021-08-26,EFIH,1.5007835229237874,balanced,train
2021-08-26,EGAL,2.6350839138031006,aggressive,train
2021-08-26,EGCH,1.5229783654212952,balanced,train
2021-08-26,EGTS,2.8997006018956504,aggressive,train
2021-08-26,EMFD,-2.5301453868548074,conservative,train
2021-08-26,ETEL,-2.678759058316549,conservative,train
2021-08-26,EXPA,-1.8000790476799011,balanced,train
2021-08-26,FAIT,-2.3908677995204926,conservative,train
2021-08-26,FAITA,-3.0996576944986978,conservative,train
2021-08-26,FWRY,2.2369460264841714,aggressive,train
2021-08-26,GBCO,1.2982885837554932,balanced,train
2021-08-26,GDWA,2.3192034363746643,aggressive,train
2021-08-26,HDBK,-1.4692900975545247,balanced,train
2021-08-26,HELI,0.43237927680214244,balanced,train
2021-08-26,HRHO,-2.6931113402048745,conservative,train
2021-08-26,IRON,-0.07553786039352417,balanced,train
2021-08-26,ISPH,-1.0260815272728603,balanced,train
2021-08-26,JUFO,-2.372515320777893,conservative,train
2021-08-26,MASR,0.9263356924057007,balanced,train
2021-08-26,MCQE,2.8345393339792886,aggressive,train
2021-08-26,MFPC,-2.067798912525177,conservative,train
2021-08-26,MTIE,2.001136600971222,aggressive,train
2021-08-26,OCDI,-2.5561955173810325,conservative,train
2021-08-26,OFH,-0.7957005401452383,balanced,train
2021-08-26,OIH,2.0150821208953857,aggressive,train
2021-08-26,ORAS,-2.54049551486969,conservative,train
2021-08-26,ORHD,0.023016418019930523,balanced,train
2021-08-26,ORWE,-2.6548538208007812,conservative,train
2021-08-26,PHAR,-2.154254953066508,conservative,train
2021-08-26,PHDC,-1.6680030624071758,balanced,train
2021-08-26,PRDC,2.3418495655059814,aggressive,train
2021-08-26,QNBE,-0.6958800281087557,balanced,train
2021-08-26,RAYA,2.662901441256205,aggressive,train
2021-08-26,RMDA,0.24444952607154846,balanced,train
2021-08-26,SKPC,0.47144590814908344,balanced,train
2021-08-26,SPMD,3.004854400952657,aggressive,train
2021-08-26,SUGR,2.991685072580973,aggressive,train
2021-08-26,SWDY,-2.4851224422454834,conservative,train
2021-08-26,TALM,1.0275318572918575,balanced,train
2021-08-26,TMGH,-2.4242120385169983,conservative,train
2021-08-26,VLMR,-3.166927973429362,conservative,train
2021-08-26,VLMRA,-0.5788590908050537,balanced,train
2022-02-24,ABUK,-0.9169954458872477,balanced,train
2022-02-24,ADIB,-1.3219125866889954,conservative,train
2022-02-24,ALCN,2.743151068687439,aggressive,train
2022-02-24,AMOC,0.9788445681333542,balanced,train
2022-02-24,ARAB,2.2985328435897827,aggressive,train
2022-02-24,ARCC,2.4048061768213906,aggressive,train
2022-02-24,ASPI,2.7447266976038613,aggressive,train
2022-02-24,BINV,2.472943743069967,aggressive,train
2022-02-24,BTFH,2.354589859644572,aggressive,train
2022-02-24,CCAP,1.5256281991799672,balanced,train
2022-02-24,CICH,0.6910337097942829,balanced,train
2022-02-24,CIEB,-0.6999319394429525,balanced,train
2022-02-24,CIRA,-1.175842156012853,balanced,train
2022-02-24,CLHO,-1.4853362639745076,conservative,train
2022-02-24,COMI,-2.663088003794352,conservative,train
2022-02-24,DSCW,2.782283147176107,aggressive,train
2022-02-24,EAST,-2.891988158226013,conservative,train
2022-02-24,EFID,-2.2504536509513855,conservative,train
2022-02-24,EFIH,-0.3799198071161906,balanced,train
2022-02-24,EGAL,2.8379971981048584,aggressive,train
2022-02-24,EGCH,1.9098238150278728,balanced,train
2022-02-24,EGTS,2.063406765460968,aggressive,train
2022-02-24,EMFD,-1.441223959128062,conservative,train
2022-02-24,ETEL,-2.7314851681391397,conservative,train
2022-02-24,EXPA,-2.69996976852417,conservative,train
2022-02-24,FAIT,-2.9032785097757974,conservative,train
2022-02-24,FAITA,-3.0774604876836142,conservative,train
2022-02-24,FWRY,2.73523743947347,aggressive,train
2022-02-24,GBCO,2.7718492348988852,aggressive,train
2022-02-24,GDWA,1.5177904677887757,balanced,train
2022-02-24,HDBK,-1.993348737557729,conservative,train
2022-02-24,HELI,2.7663061221440635,aggressive,train
2022-02-24,HRHO,-0.7191469719012579,balanced,train
2022-02-24,IRON,-2.128626823425293,conservative,train
2022-02-24,ISPH,2.053091526031494,aggressive,train
2022-02-24,JUFO,-1.3500475784142811,conservative,train
2022-02-24,MASR,2.345221439997355,aggressive,train
2022-02-24,MCQE,-0.4648662793139617,balanced,train
2022-02-24,MFPC,-1.884620765844981,conservative,train
2022-02-24,MTIE,2.969285726547241,aggressive,train
2022-02-24,OCDI,-0.7095915290216604,balanced,train
2022-02-24,OFH,-0.9387917121251425,balanced,train
2022-02-24,OIH,0.9082570225000381,balanced,train
2022-02-24,ORAS,-2.1187314788500466,conservative,train
