quarter_start,ticker,rl_risk_score,risk_profile,split
2022-02-24,JUFO,-3.673759698867798,conservative,train
2022-02-24,MASR,4.214097023010254,aggressive,train
2022-02-24,MCQE,2.411477208137512,balanced,train
2022-02-24,MFPC,-3.1445326010386148,conservative,train
2022-02-24,MTIE,4.208912531534831,aggressive,train
2022-02-24,OCDI,-1.0099591314792633,balanced,train
2022-02-24,OFH,-1.169132113456726,balanced,train
2022-02-24,OIH,4.089030106862386,aggressive,train
2022-02-24,ORAS,-3.731857935587565,conservative,train
2022-02-24,ORHD,3.4234015941619873,balanced,train
2022-02-24,ORWE,-3.5829172929128013,conservative,train
2022-02-24,PHAR,-3.729684829711914,conservative,train
2022-02-24,PHDC,1.1470340490341187,balanced,train
2022-02-24,PRDC,4.249961535135905,aggressive,train
2022-02-24,QNBE,0.7775947650273641,balanced,train
2022-02-24,RAYA,4.1424611409505205,aggressive,train
2022-02-24,RMDA,3.5982516606648765,balanced,train
2022-02-24,SKPC,-0.5042821764945984,balanced,train
2022-02-24,SPMD,4.209615230560303,aggressive,train
2022-02-24,SUGR,4.236592451731364,aggressive,train
2022-02-24,SWDY,-3.6282060941060386,conservative,train
2022-02-24,TALM,0.8984174331029257,balanced,train
2022-02-24,TMGH,-1.8498176137606304,balanced,train
2022-02-24,VLMR,-3.798730452855428,conservative,train
2022-02-24,VLMRA,-1.2070989608764648,balanced,train
2022-06-02,ABUK,-2.06839128335317,balanced,train
2022-06-02,ADIB,-3.449169715245565,conservative,train
2022-06-02,ALCN,4.183449109395345,aggressive,train
2022-06-02,AMOC,-1.153035084406535,balanced,train
2022-06-02,ARAB,3.7822956244150796,balanced,train
2022-06-02,ARCC,3.995808204015096,aggressive,train
2022-06-02,ASPI,4.212360223134358,aggressive,train
2022-06-02,BINV,4.197179317474365,aggressive,train
2022-06-02,BTFH,3.8320740858713784,aggressive,train
2022-06-02,CCAP,4.0493489901224775,aggressive,train
2022-06-02,CICH,2.597891847292582,balanced,train
2022-06-02,CIEB,-1.497167746225993,balanced,train
2022-06-02,CIRA,-0.6162600715955099,balanced,train
2022-06-02,CLHO,-2.8759094874064126,conservative,train
2022-06-02,COMI,-3.7822490533192954,conservative,train
2022-06-02,DSCW,4.260414123535156,aggressive,train
2022-06-02,EAST,-3.789616346359253,conservative,train
2022-06-02,EFID,-3.7218746344248452,conservative,train
2022-06-02,EFIH,-2.298997183640798,balanced,train
2022-06-02,EGAL,4.245177745819092,aggressive,train
2022-06-02,EGCH,4.016658862431844,aggressive,train
2022-06-02,EGTS,2.747194449106852,balanced,train
2022-06-02,EMFD,-3.5260719458262124,conservative,train
2022-06-02,ETEL,-3.8134191036224365,conservative,train
2022-06-02,EXPA,-3.7355770270029702,conservative,train
2022-06-02,FAIT,-3.780808210372925,conservative,train
2022-06-02,FAITA,-3.80694580078125,conservative,train
2022-06-02,FWRY,4.138273398081462,aggressive,train
2022-06-02,GBCO,4.239914258321126,aggressive,train
2022-06-02,GDWA,2.9545207023620605,balanced,train
2022-06-02,HDBK,-3.577357292175293,conservative,train
2022-06-02,HELI,4.1815409660339355,aggressive,train
2022-06-02,HRHO,1.861987551053365,balanced,train
2022-06-02,IRON,-3.6388747692108154,conservative,train
2022-06-02,ISPH,4.150610446929932,aggressive,train
2022-06-02,JUFO,-1.6751121679941814,balanced,train
2022-06-02,MASR,4.142379442850749,aggressive,train
2022-06-02,MCQE,-3.330476442972819,conservative,train
2022-06-02,MFPC,-3.614138205846151,conservative,train
2022-06-02,MTIE,4.274880250295003,aggressive,train
2022-06-02,OCDI,-2.5245742400487265,balanced,train
2022-06-02,OFH,2.548227290312449,balanced,train
2022-06-02,OIH,1.3598607579867046,balanced,train
2022-06-02,ORAS,-3.2544894218444824,conservative,train
2022-06-02,ORHD,4.1500504811604815,aggressive,train
2022-06-02,ORWE,-3.7302207946777344,conservative,train
2022-06-02,PHAR,-3.7621257305145264,conservative,train
2022-06-02,PHDC,2.933304270108541,balanced,train
2022-06-02,PRDC,3.495805581410726,balanced,train
2022-06-02,QNBE,3.7077651818593345,balanced,train
2022-06-02,RAYA,4.005799055099487,aggressive,train
2022-06-02,RMDA,2.067771544059118,balanced,train
2022-06-02,SKPC,-3.2948555946350098,conservative,train
2022-06-02,SPMD,4.240245501200358,aggressive,train
2022-06-02,SUGR,4.1268415451049805,aggressive,train
2022-06-02,SWDY,-2.338748117287954,balanced,train
2022-06-02,TALM,4.157227516174316,aggressive,train
2022-06-02,TMGH,-3.143845717112223,conservative,train
2022-06-02,VLMR,-3.8187188307444253,conservative,train
2022-06-02,VLMRA,-1.5623470743497212,balanced,train
2022-09-07,ABUK,-3.531304041544596,conservative,train
2022-09-07,ADIB,-3.7439874013264975,conservative,train
2022-09-07,ALCN,3.9569539229075112,aggressive,train
2022-09-07,AMOC,-3.4542404810587564,conservative,train
2022-09-07,ARAB,4.047584931055705,aggressive,train
2022-09-07,ARCC,3.643326759338379,aggressive,train
2022-09-07,ASPI,4.108126163482666,aggressive,train
2022-09-07,BINV,4.184110800425212,aggressive,train
